Chromosome_A,Start_A,End_A,Chromosome_B,Start_B,End_B
chr1,4248497,4248497,chr7,10531353,10531353
chr1,4248497,4248497,chr8,5888012,5888012
chr1,4248497,4248497,chr10,5142927,5142927
chr1,4550019,4550019,chr8,5991475,5991475
chr1,4649572,4649572,chr4,3365851,3365851
chr1,4649572,4649572,chr6,10661557,10661557
chr1,4649572,4649572,chr8,5991475,5991475
chr1,4649572,4649572,chr9,230717,230717
chr1,4668669,4668669,chr5,8107353,8107353
chr1,4668669,4668669,chr8,5888012,5888012
chr1,4668669,4668669,chr8,5991475,5991475
chr1,4668669,4668669,chr8,6033278,6033278
chr1,4668669,4668669,chr10,5085730,5085730
chr1,4706452,4706452,chr8,5991475,5991475
chr1,4706452,4706452,chr8,6033278,6033278
chr1,4797646,4797646,chr2,4614479,4614479
chr1,4797646,4797646,chr3,11924751,11924751
chr1,4797646,4797646,chr8,5888012,5888012
chr1,4797646,4797646,chr8,5991475,5991475
chr1,4979718,4979718,chr8,5991475,5991475
chr1,5053409,5053409,chr8,6033278,6033278
chr1,5053409,5053409,chr9,6364446,6364446
chr1,5053413,5053413,chr3,293091,293091
chr1,5053413,5053413,chr4,10024893,10024893
chr1,5053413,5053413,chr4,10880465,10880465
chr1,5053413,5053413,chr8,5888012,5888012
chr1,5053413,5053413,chr8,5991475,5991475
chr1,5494624,5494624,chr8,6033278,6033278
chr1,8604248,8604248,chr8,5991475,5991475
chr1,9026997,9026997,chr8,5991475,5991475
chr1,10344575,10344575,chr5,8107353,8107353
chr1,12084589,12084589,chr8,5826404,5826404
chr1,12219836,12219836,chr8,6033278,6033278
chr2,457266,457266,chr2,4633544,4633544
chr2,943558,943558,chr5,6881188,6881188
chr2,2860103,2860103,chr5,8107353,8107353
chr2,4206465,4206465,chr5,2382077,2382077
chr2,4225043,4225043,chr5,8058158,8058158
chr2,4481988,4481988,chr8,6469854,6469854
chr2,4538716,4538716,chr8,5888012,5888012
chr2,4614479,4614479,chr5,1295423,1295423
chr2,4614479,4614479,chr8,5991475,5991475
chr2,4614479,4614479,chr9,5516901,5516901
chr2,4633544,4633544,chr5,1355660,1355660
chr2,4633544,4633544,chr5,1709955,1709955
chr2,4633544,4633544,chr8,5665574,5665574
chr2,4633544,4633544,chr8,5826404,5826404
chr2,4633544,4633544,chr8,5888012,5888012
chr2,4633544,4633544,chr8,5991475,5991475
chr2,4633544,4633544,chr9,6855073,6855073
chr2,4652191,4652191,chr5,2382069,2382069
chr2,4652191,4652191,chr8,5991475,5991475
chr2,4776865,4776865,chr5,1355660,1355660
chr2,4776865,4776865,chr8,6033278,6033278
chr2,4805867,4805867,chr5,2424488,2424488
chr2,4805867,4805867,chr8,5888012,5888012
chr2,4805867,4805867,chr8,5991475,5991475
chr2,4805867,4805867,chr8,6033278,6033278
chr2,4805867,4805867,chr8,6469854,6469854
chr2,4995114,4995114,chr8,5888012,5888012
chr2,5253050,5253050,chr8,5991475,5991475
chr2,5469251,5469251,chr8,5888012,5888012
chr2,5974823,5974823,chr8,6033278,6033278
chr2,7344274,7344274,chr10,5142927,5142927
chr2,7430900,7430900,chr8,5991475,5991475
chr2,7749039,7749039,chr10,5142927,5142927
chr2,7997258,7997258,chr10,5142927,5142927
chr2,8821530,8821530,chr10,5142927,5142927
chr2,9863436,9863436,chr8,5888012,5888012
chr2,9863436,9863436,chr8,6033278,6033278
chr2,9969576,9969576,chr8,5991475,5991475
chr2,11829536,11829536,chr5,8832758,8832758
chr3,19001,19001,chr3,293091,293091
chr3,406526,406526,chr5,8832758,8832758
chr3,1412412,1412412,chr5,2297303,2297303
chr3,1430848,1430848,chr8,5826404,5826404
chr3,1928882,1928882,chr8,5888012,5888012
chr3,1970542,1970542,chr8,5991475,5991475
chr3,2196593,2196593,chr5,9024922,9024922
chr3,2434645,2434645,chr9,12646208,12646208
chr3,2434645,2434645,chr10,5085739,5085739
chr3,2472924,2472924,chr5,8207622,8207622
chr3,2472924,2472924,chr5,9024922,9024922
chr3,2472924,2472924,chr9,12230846,12230846
chr3,2472924,2472924,chr10,9014998,9014998
chr3,2710925,2710925,chr8,5888012,5888012
chr3,3609433,3609433,chr8,5888012,5888012
chr3,3609433,3609433,chr8,5991475,5991475
chr3,10402658,10402658,chr8,5991475,5991475
chr3,10425680,10425680,chr8,5888012,5888012
chr3,10461199,10461199,chr8,5991475,5991475
chr3,10461199,10461199,chr8,6033278,6033278
chr3,11001115,11001115,chr8,5888012,5888012
chr3,11924751,11924751,chr4,2501485,2501485
chr3,15415536,15415536,chr10,4462841,4462841
chr4,2073423,2073423,chr8,5888012,5888012
chr4,4571790,4571790,chr8,5888012,5888012
chr4,10218314,10218314,chr8,5888012,5888012
chr4,10630734,10630734,chr5,8107353,8107353
chr4,10630734,10630734,chr8,6033278,6033278
chr4,10746606,10746606,chr8,5991475,5991475
chr4,10804235,10804235,chr8,5991475,5991475
chr4,10823369,10823369,chr8,6033278,6033278
chr4,10918526,10918526,chr5,9024922,9024922
chr5,172772,172772,chr8,5991475,5991475
chr5,462804,462804,chr5,8795555,8795555
chr5,462804,462804,chr8,5888012,5888012
chr5,1295423,1295423,chr8,5991475,5991475
chr5,1355660,1355660,chr8,5888012,5888012
chr5,1355660,1355660,chr8,5991475,5991475
chr5,1630709,1630709,chr8,5888012,5888012
chr5,1709955,1709955,chr8,5991475,5991475
chr5,1709955,1709955,chr9,6855073,6855073
chr5,1950576,1950576,chr8,5888012,5888012
chr5,2297303,2297303,chr8,5991475,5991475
chr5,2382069,2382069,chr8,5991475,5991475
chr5,2382077,2382077,chr8,5888012,5888012
chr5,2382077,2382077,chr8,5991475,5991475
chr5,2382077,2382077,chr8,6033278,6033278
chr5,2424488,2424488,chr8,5991475,5991475
chr5,2424488,2424488,chr8,6033278,6033278
chr5,2618733,2618733,chr8,5888012,5888012
chr5,2618737,2618737,chr8,5888012,5888012
chr5,2618737,2618737,chr8,5991475,5991475
chr5,2918954,2918954,chr5,8107353,8107353
chr5,2918954,2918954,chr8,5888012,5888012
chr5,2918954,2918954,chr8,5991475,5991475
chr5,2918954,2918954,chr8,6033278,6033278
chr5,3516360,3516360,chr8,5991475,5991475
chr5,3600784,3600784,chr5,7663684,7663684
chr5,3600784,3600784,chr5,8207622,8207622
chr5,4374349,4374349,chr8,5991475,5991475
chr5,4477749,4477749,chr8,5991475,5991475
chr5,4831421,4831421,chr5,8107353,8107353
chr5,4933557,4933557,chr8,5991475,5991475
chr5,5035982,5035982,chr8,5991475,5991475
chr5,5096763,5096763,chr8,6033278,6033278
chr5,5411994,5411994,chr8,5991475,5991475
chr5,5999424,5999424,chr8,5991475,5991475
chr5,6035538,6035538,chr8,5991475,5991475
chr5,6035538,6035538,chr8,6033278,6033278
chr5,6176858,6176858,chr5,8107353,8107353
chr5,6584290,6584290,chr7,952749,952749
chr5,6881188,6881188,chr5,12198375,12198375
chr5,6881188,6881188,chr7,952749,952749
chr5,6881188,6881188,chr8,112098,112098
chr5,6881188,6881188,chr8,5991475,5991475
chr5,6881188,6881188,chr8,6323383,6323383
chr5,6881188,6881188,chr10,8444040,8444040
chr5,7726653,7726653,chr8,5991475,5991475
chr5,7789608,7789608,chr8,5573975,5573975
chr5,7789608,7789608,chr8,5888012,5888012
chr5,7820653,7820653,chr7,952749,952749
chr5,7820653,7820653,chr8,5490551,5490551
chr5,7820653,7820653,chr8,5888012,5888012
chr5,7820653,7820653,chr8,5991475,5991475
chr5,7922350,7922350,chr7,6194757,6194757
chr5,7922350,7922350,chr8,5991475,5991475
chr5,8026255,8026255,chr7,801709,801709
chr5,8026255,8026255,chr8,5991475,5991475
chr5,8058158,8058158,chr7,952749,952749
chr5,8058158,8058158,chr7,1581019,1581019
chr5,8058158,8058158,chr8,5826404,5826404
chr5,8058158,8058158,chr8,5888012,5888012
chr5,8058158,8058158,chr8,6323383,6323383
chr5,8058158,8058158,chr8,9127831,9127831
chr5,8107353,8107353,chr6,11469953,11469953
chr5,8107353,8107353,chr7,1794841,1794841
chr5,8107353,8107353,chr8,5362439,5362439
chr5,8107353,8107353,chr8,6323383,6323383
chr5,8107353,8107353,chr8,11284635,11284635
chr5,8123856,8123856,chr7,952749,952749
chr5,8123856,8123856,chr8,5665574,5665574
chr5,8123856,8123856,chr8,5888012,5888012
chr5,8207622,8207622,chr7,716716,716716
chr5,8207622,8207622,chr7,6476773,6476773
chr5,8471799,8471799,chr8,5991475,5991475
chr5,8541394,8541394,chr7,778080,778080
chr5,8541394,8541394,chr7,801709,801709
chr5,8541394,8541394,chr8,5573975,5573975
chr5,8541394,8541394,chr8,5888012,5888012
chr5,8648139,8648139,chr8,5991475,5991475
chr5,8832758,8832758,chr7,740533,740533
chr5,8832758,8832758,chr8,5991475,5991475
chr5,8851285,8851285,chr7,801709,801709
chr5,9024922,9024922,chr7,716716,716716
chr5,9024922,9024922,chr8,6323383,6323383
chr5,9310854,9310854,chr8,5888012,5888012
chr5,9386282,9386282,chr8,5888012,5888012
chr5,10253202,10253202,chr8,5991475,5991475
chr6,9672254,9672254,chr6,10661557,10661557
chr6,10291129,10291129,chr8,6033278,6033278
chr6,10618001,10618001,chr8,5991475,5991475
chr6,11144012,11144012,chr8,5991475,5991475
chr7,778080,778080,chr8,5991475,5991475
chr7,801709,801709,chr8,5991475,5991475
chr7,952749,952749,chr8,417016,417016
chr7,4229313,4229313,chr8,5991475,5991475
chr7,6194757,6194757,chr8,5991475,5991475
chr7,9596051,9596051,chr8,6033278,6033278
chr7,12835030,12835030,chr8,5888012,5888012
chr7,13009576,13009576,chr8,5888012,5888012
chr8,417016,417016,chr8,5888012,5888012
chr8,1896020,1896020,chr8,5991475,5991475
chr8,3079856,3079856,chr8,5991475,5991475
chr8,4704639,4704639,chr8,6033278,6033278
chr8,5362439,5362439,chr8,5991475,5991475
chr8,5362447,5362447,chr8,5826404,5826404
chr8,5362447,5362447,chr8,5888012,5888012
chr8,5490551,5490551,chr8,5991475,5991475
chr8,5573975,5573975,chr9,2558207,2558207
chr8,5665574,5665574,chr8,5888012,5888012
chr8,5757367,5757367,chr8,5991475,5991475
chr8,5888012,5888012,chr8,8554673,8554673
chr8,5888012,5888012,chr9,6342192,6342192
chr8,5888012,5888012,chr9,6364446,6364446
chr8,5888012,5888012,chr10,2974731,2974731
chr8,5888012,5888012,chr10,5142927,5142927
chr8,5888012,5888012,chr10,6016668,6016668
chr8,5991475,5991475,chr8,6964143,6964143
chr8,5991475,5991475,chr9,2558207,2558207
chr8,5991475,5991475,chr9,4443952,4443952
chr8,5991475,5991475,chr9,4509908,4509908
chr8,5991475,5991475,chr9,5516901,5516901
chr8,5991475,5991475,chr9,6342192,6342192
chr8,5991475,5991475,chr9,6364446,6364446
chr8,5991475,5991475,chr10,4488924,4488924
chr8,5991475,5991475,chr10,5142927,5142927
chr8,5991475,5991475,chr10,5710310,5710310
chr8,5991475,5991475,chr10,6016668,6016668
chr8,6033278,6033278,chr10,2902875,2902875
chr8,6033278,6033278,chr10,4385529,4385529
chr8,6033278,6033278,chr10,4863795,4863795
chr8,6033278,6033278,chr10,5085730,5085730
chr8,6033278,6033278,chr10,5710310,5710310
chr8,6323383,6323383,chr10,4385529,4385529
chr8,7990464,7990464,chr10,5085739,5085739
chr10,2902875,2902875,chr10,5917138,5917138
chr10,4863795,4863795,chr10,8399790,8399790
chr10,5085730,5085730,chr10,8509134,8509134
chr10,6016668,6016668,chr10,7045466,7045466
