Chromosome_A,Start_A,End_A,Chromosome_B,Start_B,End_B
chr3,13804729,13804729,chr10,4180858,4180858
chr3,14597683,14597683,chr10,4684608,4684608
chr3,14953409,14953409,chr10,10562688,10562688
chr3,15256909,15256909,chr6,1359723,1359723
chr3,15256909,15256909,chr6,6231672,6231672
chr3,15256909,15256909,chr10,4385675,4385675
chr3,15256909,15256909,chr10,4536828,4536828
chr3,15288323,15288323,chr4,7817117,7817117
chr3,15288323,15288323,chr5,1113344,1113344
chr3,15288323,15288323,chr6,1402440,1402440
chr3,15288323,15288323,chr6,6356680,6356680
chr3,15288323,15288323,chr6,7049019,7049019
chr3,15288323,15288323,chr10,4385675,4385675
chr3,15288323,15288323,chr10,4536828,4536828
chr3,15288323,15288323,chr10,4684608,4684608
chr3,15489877,15489877,chr10,4385675,4385675
chr3,16065273,16065273,chr10,4536828,4536828
chr3,16085922,16085922,chr10,4536828,4536828
chr4,550207,550207,chr6,6323981,6323981
chr4,3490918,3490918,chr6,6231672,6231672
chr4,3490918,3490918,chr6,7001450,7001450
chr4,4028776,4028776,chr5,953408,953408
chr4,4028776,4028776,chr10,4385675,4385675
chr4,4028776,4028776,chr10,4536828,4536828
chr4,4137348,4137348,chr8,7756938,7756938
chr4,4137348,4137348,chr10,4385675,4385675
chr4,4476539,4476539,chr10,4385675,4385675
chr4,5185912,5185912,chr10,4385675,4385675
chr4,5185912,5185912,chr10,4684608,4684608
chr4,7767851,7767851,chr5,953408,953408
chr4,7767851,7767851,chr10,4536828,4536828
chr4,7817117,7817117,chr10,4385675,4385675
chr4,7887487,7887487,chr10,4536828,4536828
chr4,8438459,8438459,chr8,7756938,7756938
chr4,10314918,10314918,chr5,792469,792469
chr4,10823733,10823733,chr6,6356680,6356680
chr4,10886392,10886392,chr6,6356680,6356680
chr5,88854,88854,chr8,12383578,12383578
chr5,88854,88854,chr10,4385675,4385675
chr5,154063,154063,chr6,4374563,4374563
chr5,154063,154063,chr10,4180858,4180858
chr5,953408,953408,chr6,4460342,4460342
chr5,953408,953408,chr6,8174044,8174044
chr5,953408,953408,chr8,5176593,5176593
chr5,953408,953408,chr8,6885274,6885274
chr5,953408,953408,chr8,7756946,7756946
chr5,953408,953408,chr8,8284639,8284639
chr5,953408,953408,chr10,4536828,4536828
chr5,4587184,4587184,chr6,5881037,5881037
chr5,4587184,4587184,chr6,6356680,6356680
chr5,4587184,4587184,chr10,4536828,4536828
chr5,7822637,7822637,chr6,6323981,6323981
chr5,8143727,8143727,chr10,4536828,4536828
chr6,3184299,3184299,chr6,6231672,6231672
chr6,3531231,3531231,chr10,4536828,4536828
chr6,4082021,4082021,chr10,4536828,4536828
chr6,4374563,4374563,chr10,4180858,4180858
chr6,4374563,4374563,chr10,4536828,4536828
chr6,4396089,4396089,chr10,4536828,4536828
chr6,4481863,4481863,chr10,4536828,4536828
chr6,5881037,5881037,chr10,4536828,4536828
chr6,5956449,5956449,chr10,4536828,4536828
chr6,6231672,6231672,chr6,8174044,8174044
chr6,6231672,6231672,chr8,11018421,11018421
chr6,6231672,6231672,chr10,4180858,4180858
chr6,6231672,6231672,chr10,4536828,4536828
chr6,6323981,6323981,chr10,4180858,4180858
chr6,6323981,6323981,chr10,4385675,4385675
chr6,6323981,6323981,chr10,4536828,4536828
chr6,6323981,6323981,chr10,4786935,4786935
chr6,6356680,6356680,chr8,5355391,5355391
chr6,6356680,6356680,chr8,11523943,11523943
chr6,6356680,6356680,chr8,13935940,13935940
chr6,6356680,6356680,chr9,10536204,10536204
chr6,6356680,6356680,chr10,4180858,4180858
chr6,6356680,6356680,chr10,4385675,4385675
chr6,6356680,6356680,chr10,4536828,4536828
chr6,6356680,6356680,chr10,4684608,4684608
chr6,6520892,6520892,chr10,9498360,9498360
chr6,6653380,6653380,chr10,9498360,9498360
chr6,6977889,6977889,chr6,10418912,10418912
chr6,7001450,7001450,chr8,13979469,13979469
chr6,7001450,7001450,chr10,4536828,4536828
chr6,7049019,7049019,chr10,4536828,4536828
chr6,7049019,7049019,chr10,10562679,10562679
chr6,7096410,7096410,chr8,13300505,13300505
chr6,7452002,7452002,chr10,4536828,4536828
chr6,8065243,8065243,chr10,4536828,4536828
chr7,3868581,3868581,chr10,4536828,4536828
chr7,7077763,7077763,chr10,4536828,4536828
chr7,11574468,11574468,chr10,4385675,4385675
chr7,12043337,12043337,chr10,4536828,4536828
chr7,12408466,12408466,chr10,4536828,4536828
chr7,13347337,13347337,chr10,9498360,9498360
chr8,4204301,4204301,chr10,4385675,4385675
chr8,5980399,5980399,chr10,4536828,4536828
chr8,6345545,6345545,chr10,4385675,4385675
chr8,6345545,6345545,chr10,4709497,4709497
chr8,6638310,6638310,chr10,4536828,4536828
chr8,6780828,6780828,chr10,4536828,4536828
chr8,6843232,6843232,chr9,9649081,9649081
chr8,6843232,6843232,chr10,4536828,4536828
chr8,6885274,6885274,chr10,4536828,4536828
chr8,7756938,7756938,chr10,4536828,4536828
chr8,7998844,7998844,chr10,4684608,4684608
chr8,8735667,8735667,chr10,4536828,4536828
chr8,11322975,11322975,chr10,4536828,4536828
chr8,11424278,11424278,chr10,4536828,4536828
chr8,11523943,11523943,chr10,4536828,4536828
chr8,11604135,11604135,chr10,4786935,4786935
chr8,13300505,13300505,chr10,4536828,4536828
chr8,13580037,13580037,chr10,4536828,4536828
chr9,2277372,2277372,chr10,4180858,4180858
chr9,10191457,10191457,chr10,4536828,4536828
chr9,10536204,10536204,chr10,4385675,4385675
chr9,10536204,10536204,chr10,4536828,4536828
chr10,2306030,2306030,chr10,4684608,4684608
chr10,4080449,4080449,chr10,4684608,4684608
chr10,4536828,4536828,chr10,7906717,7906717
