chromosome,name,middle,start,end
1,S1_4512876,5.276096658,527607,531029
1,S1_4519305,5.344490774,531029,537856
1,S1_4544708,5.412623985,537856,544655
1,S1_4545495,5.480475763,544655,548050
1,S1_4547866,5.480519246,548050,553189
1,S1_4548765,5.583266615,553189,563425
1,S1_4555422,5.685223428,563425,568525
1,S1_4555579,5.685266912,568525,578493
1,S1_4557453,5.884596823,578493,588462
1,S1_4592927,5.884640307,588462,588466
1,S1_4598476,5.884683791,588466,608489
1,S1_4599469,6.285094836,608489,628512
1,S1_4600196,6.28513832,628512,628516
1,S1_4601710,6.285181804,628516,628520
1,S1_4606320,6.285225288,628520,635514
1,S1_4608045,6.425058243,635514,649560
1,S1_4609633,6.566137128,649560,663739
1,S1_4715771,6.708635883,663739,670866
1,S1_4748718,6.708679367,670866,670870
1,S1_4748996,6.70872285,670870,670874
1,S1_4749464,6.708766334,670874,691670
1,S1_4752121,7.12464343,691670,733258
1,S1_4752922,7.540520525,733258,754054
1,S1_4753039,7.540564009,754054,757557
1,S1_4754720,7.61057245,757557,764539
1,S1_4766227,7.680212489,764539,771485
1,S1_4766734,7.749484126,771485,774951
1,S1_4979298,7.74952761,774951,778416
1,S1_4988831,7.818799247,778416,785362
1,S1_4990722,7.888439286,785362,792344
1,S1_4995427,7.958447727,792344,795847
1,S1_4996452,7.958491211,795847,801073
1,S1_4996616,8.062973096,801073,811478
1,S1_4998727,8.166577458,811478,816660
1,S1_5007050,8.166620942,816660,826872
1,S1_5010040,8.370827119,826872,837085
1,S1_5045866,8.370870603,837085,842199
1,S1_5046342,8.473108851,842199,852431
1,S1_5055764,8.575521036,852431,857554
1,S1_5245709,8.575564519,857554,867916
1,S1_5328409,8.782751178,867916,878277
1,S1_5348159,8.782794662,878277,883547
1,S1_5388402,8.888154071,883547,894042
1,S1_5432380,8.992689705,894042,899271
1,S1_5533209,8.992733189,899271,899278
1,S1_5538280,8.992830422,899278,899295
1,S1_5539764,8.993068372,899295,920672
1,S1_5588902,9.420379414,920672,999241
1,S1_5625124,10.56444688,999241,1056447
1,S1_5625242,10.56449037,1056447,1056451
1,S1_5627905,10.56453385,1056451,1056456
1,S1_5629244,10.56457734,1056456,1071497
1,S1_5636343,10.86536764,1071497,1086539
1,S1_5653111,10.86541112,1086539,1116118
1,S1_5722868,11.45695531,1116118,1145700
1,S1_5744500,11.45705254,1145700,1145710
1,S1_5745514,11.45714977,1145710,1145717
1,S1_5746111,11.45719326,1145717,1145722
1,S1_5747307,11.45723674,1145722,1145726
1,S1_5748340,11.45728023,1145726,1156798
1,S1_5811180,11.67868624,1156798,1167871
1,S1_6217930,11.67872973,1167871,1171647
1,S1_6233919,11.75421045,1171647,1179170
1,S1_6234560,11.82918206,1179170,1186646
1,S1_6234661,11.90373151,1186646,1190375
1,S1_6429469,11.903775,1190375,1201303
1,S1_6431197,12.1222875,1201303,1212231
1,S1_6851707,12.12233098,1212231,1217666
1,S1_6921421,12.23098549,1217666,1228520
1,S1_6921968,12.33941231,1228520,1233943
1,S1_6926817,12.33945579,1233943,1237551
1,S1_6926992,12.41156715,1237551,1244758
1,S1_7041676,12.48359154,1244758,1251956
1,S1_7041917,12.55552896,1251956,1261055
1,S1_7046074,12.66557011,1261055,1272105
1,S1_7071221,12.776522,1272105,1288723
1,S1_7077252,12.99792802,1288723,1299795
1,S1_7084495,12.99797151,1299795,1305366
1,S1_7084877,13.10934555,1305366,1316515
1,S1_7086681,13.22094729,1316515,1322097
1,S1_7356432,13.22099077,1322097,1333195
1,S1_7389130,13.44290592,1333195,1344293
1,S1_7397706,13.4429494,1344293,1355196
1,S1_7400706,13.6609733,1355196,1366100
1,S1_7490302,13.66101679,1366100,1371556
1,S1_7490633,13.77009345,1371556,1382415
1,S1_7569164,13.87820561,1382415,1387823
1,S1_8136850,13.8782491,1387823,1387827
1,S1_8137063,13.87829258,1387827,1387831
1,S1_8147291,13.87833607,1387831,1387836
1,S1_8147670,13.87837955,1387836,1420090
1,S1_8271524,14.52341357,1420090,1452344
1,S1_8287712,14.52345706,1452344,1463036
1,S1_8352063,14.73725453,1463036,1473728
1,S1_8451520,14.73729801,1473728,1506128
1,S1_8459890,15.38525921,1506128,1538528
1,S1_8460346,15.38530269,1538528,1538532
1,S1_8625185,15.38534618,1538532,1538537
1,S1_8628074,15.38538966,1538537,1549345
1,S1_8628184,15.60151777,1549345,1570887
1,S1_8631700,15.816226,1570887,1581625
1,S1_8634454,15.81626948,1581625,1581629
1,S1_8635571,15.81631297,1581629,1592141
1,S1_8656801,16.02651333,1592141,1602654
1,S1_8657518,16.02655681,1602654,1613232
1,S1_8882564,16.23809008,1613232,1623811
1,S1_8979420,16.23813357,1623811,1634551
1,S1_9052454,16.45289554,1634551,1645292
1,S1_9058931,16.45293903,1645292,1656032
1,S1_9123414,16.66770101,1656032,1666772
1,S1_9124308,16.66774449,1666772,1666777
1,S1_9125300,16.66778797,1666777,1688452
1,S1_9168521,17.1012548,1688452,1710128
1,S1_9191778,17.10129828,1710128,1710132
1,S1_9191949,17.10134177,1710132,1715554
1,S1_9215990,17.20973537,1715554,1726358
1,S1_9217135,17.31742538,1726358,1731745
1,S1_9437184,17.31746887,1731745,1742602
1,S1_9499458,17.53456148,1742602,1753458
1,S1_9580160,17.53460497,1753458,1753463
1,S1_9580795,17.53464845,1753463,1753470
1,S1_9580960,17.53474568,1753470,1786511
1,S1_9807822,18.19547509,1786511,1819550
1,S1_9808366,18.19551857,1819550,1819554
1,S1_10036994,18.19556206,1819554,1841516
1,S1_10222600,18.63476249,1841516,1863478
1,S1_10361742,18.63480598,1863478,1863483
1,S1_10361873,18.63484946,1863483,1863487
1,S1_10436215,18.63489295,1863487,1885695
1,S1_10512615,19.07900317,1885695,1907902
1,S1_10584153,19.07904666,1907902,1916414
1,S1_10584231,19.24923439,1916414,1933434
1,S1_10592626,19.41945534,1933434,1947611
1,S1_10694431,19.53275837,1947611,1958975
1,S1_10820486,19.64674446,1958975,1970422
1,S1_10821114,19.76169504,1970422,1976172
1,S1_10821230,19.76173853,1976172,1976176
1,S1_10827206,19.76178201,1976176,1999206
1,S1_10900223,20.22234362,1999206,2022237
1,S1_10960646,20.2223871,2022237,2022241
1,S1_10960811,20.22243059,2022241,2028161
1,S1_10961069,20.34078377,2028161,2040053
1,S1_10969971,20.46027538,2040053,2046030
1,S1_10970425,20.46031887,2046030,2049962
1,S1_10970956,20.53892075,2049962,2057815
1,S1_10975291,20.61738191,2057815,2065654
1,S1_10978004,20.69570236,2065654,2069572
1,S1_10982771,20.69574584,2069572,2073564
1,S1_10988596,20.7755399,2073564,2081518
1,S1_10989294,20.85482483,2081518,2089421
1,S1_10995471,20.93360065,2089421,2093362
1,S1_10996677,20.93364413,2093362,2093367
1,S1_10998969,20.93368762,2093367,2109035
1,S1_11112751,21.24701673,2109035,2156282
1,S1_11242832,21.87863271,2156282,2187865
1,S1_11476389,21.87867619,2187865,2187870
1,S1_11476884,21.87871968,2187870,2187874
1,S1_11481124,21.87876316,2187874,2211671
1,S1_11531904,22.35465042,2211671,2235467
1,S1_11946916,22.3546939,2235467,2235472
1,S1_11946996,22.35473739,2235472,2235476
1,S1_12152643,22.35478087,2235476,2239474
1,S1_12166037,22.43469511,2239474,2247484
1,S1_12166782,22.51497776,2247484,2255530
1,S1_12169774,22.59562881,2255530,2259565
1,S1_12209953,22.59567229,2259565,2263722
1,S1_12210891,22.67876144,2263722,2272059
1,S1_12243958,22.76241345,2272059,2280451
1,S1_12244153,22.84660781,2280451,2284663
1,S1_12312768,22.84665129,2284663,2290869
1,S1_12338409,22.97073768,2290869,2303292
1,S1_12344374,23.09510551,2303292,2309513
1,S1_12347877,23.09514899,2309513,2309517
1,S1_12352631,23.09519248,2309517,2309521
1,S1_12352857,23.09523596,2309521,2330570
1,S1_12355871,23.51616353,2330570,2351619
1,S1_12357243,23.51620702,2351619,2356416
1,S1_12398016,23.61211598,2356416,2366000
1,S1_12436754,23.70788422,2366000,2370791
1,S1_12441345,23.7079277,2370791,2402716
1,S1_12463631,24.34638317,2402716,2434640
1,S1_12486750,24.34642665,2434640,2434645
1,S1_12486892,24.34647014,2434645,2434649
1,S1_12498912,24.34651362,2434649,2447225
1,S1_12509920,24.59799336,2447225,2459802
1,S1_12663168,24.59803685,2459802,2459806
1,S1_12823121,24.59808033,2459806,2511321
1,S1_12851180,25.62834602,2511321,2562837
1,S1_12852278,25.62838951,2562837,2562841
1,S1_12852944,25.62843299,2562841,2567057
1,S1_12853931,25.71271431,2567057,2575493
1,S1_12944255,25.79713635,2575493,2583942
1,S1_12944898,25.88169911,2583942,2600939
1,S1_12946667,26.13709065,2600939,2613711
1,S1_12990921,26.13713414,2613711,2620119
1,S1_13093954,26.26525244,2620119,2632982
1,S1_13372498,26.39438899,2632982,2639441
1,S1_13536883,26.39443247,2639441,2643853
1,S1_13536949,26.4826255,2643853,2652642
1,S1_13539829,26.57022245,2652642,2661374
1,S1_13595453,26.65725653,2661374,2665728
1,S1_13643091,26.65730001,2665728,2689389
1,S1_13645438,27.13048803,2689389,2736216
1,S1_13684460,27.59383584,2736216,2759386
1,S1_13689603,27.59387933,2759386,2759390
1,S1_13740549,27.59392281,2759390,2769444
1,S1_13788997,27.79495404,2769444,2789435
1,S1_14031970,27.99374161,2789435,2809203
1,S1_14032198,28.19031873,2809203,2819034
1,S1_14104201,28.19036221,2819034,2823015
1,S1_14105286,28.26992858,2823015,2830994
1,S1_14164353,28.34995032,2830994,2839022
1,S1_14165072,28.43048118,2839022,2843050
1,S1_14638094,28.43052467,2843050,2848977
1,S1_14639715,28.54901857,2848977,2860810
1,S1_14780391,28.66717728,2860810,2866720
1,S1_14810804,28.66722077,2866720,2870642
1,S1_14851161,28.74562818,2870642,2878465
1,S1_14851446,28.82366719,2878465,2886250
1,S1_14853047,28.9013378,2886250,2890136
1,S1_14942338,28.90138129,2890136,2895964
1,S1_14943288,29.01789245,2895964,2907631
1,S1_14959113,29.13471827,2907631,2923941
1,S1_14959764,29.34409484,2923941,2944860
1,S1_14960382,29.55310301,2944860,2965768
1,S1_14961149,29.7622519,2965768,2976227
1,S1_15005542,29.76229538,2976227,2976232
1,S1_15006738,29.76233886,2976232,2991990
1,S1_15067854,30.07745631,2991990,3007748
1,S1_15075522,30.07749979,3007748,3019666
1,S1_15143038,30.31581157,3019666,3031583
1,S1_15176463,30.31585506,3031583,3056025
1,S1_15318304,30.80465026,3056025,3080467
1,S1_15779598,30.80469374,3080467,3105217
1,S1_15807528,31.29964486,3105217,3142290
1,S1_15809326,31.54616133,3142290,3154618
1,S1_16045315,31.54620481,3154618,3154623
1,S1_16045504,31.5462483,3154623,3173181
1,S1_16047137,31.9173751,3173181,3210025
1,S1_16067724,32.2831163,3210025,3228314
1,S1_16178909,32.28315979,3228314,3234405
1,S1_16333010,32.40494879,3234405,3246527
1,S1_16377974,32.52559936,3246527,3252562
1,S1_16450351,32.52564284,3252562,3264284
1,S1_16468793,32.76004284,3264284,3287658
1,S1_16470504,32.99310992,3287658,3311017
1,S1_16580619,33.22722847,3311017,3322725
1,S1_16801804,33.22727196,3322725,3334365
1,S1_16822896,33.46002438,3334365,3346005
1,S1_16825995,33.46006786,3346005,3357486
1,S1_16948622,33.68964532,3357486,3368967
1,S1_16950794,33.6896888,3368967,3368971
1,S1_16951416,33.68973228,3368971,3368975
1,S1_16953663,33.68977577,3368975,3403071
1,S1_17325888,34.37164074,3403071,3437166
1,S1_17353752,34.37168422,3437166,3437171
1,S1_17492494,34.37172771,3437171,3437175
1,S1_17494043,34.37177119,3437175,3437179
1,S1_17681542,34.37181468,3437179,3470599
1,S1_17695500,35.04017436,3470599,3504020
1,S1_17713913,35.04021784,3504020,3504024
1,S1_17882545,35.04026133,3504024,3504028
1,S1_17886196,35.04030481,3504028,3525755
1,S1_17959598,35.47478995,3525755,3551028
1,S1_17963080,35.54576288,3551028,3558132
1,S1_17964305,35.61687653,3558132,3565248
1,S1_17964457,35.68807714,3565248,3579617
1,S1_18128981,35.904259,3579617,3595976
1,S1_18189782,36.01526465,3595976,3607125
1,S1_18189857,36.12723478,3607125,3612726
1,S1_18624217,36.12727827,3612726,3623923
1,S1_18630302,36.35117618,3623923,3635120
1,S1_18641792,36.35121966,3635120,3646443
1,S1_18697514,36.57764269,3646443,3657766
1,S1_18839144,36.57768617,3657766,3657771
1,S1_18888981,36.57772965,3657771,3680591
1,S1_18977637,37.03409778,3680591,3703412
1,S1_18980219,37.03414126,3703412,3703414
1,S1_19260265,37.03414136,3703414,3703416
1,S1_19260411,37.03418485,3703416,3703421
1,S1_19263060,37.03422833,3703421,3726448
1,S1_19295916,37.49473619,3726448,3749476
1,S1_19328611,37.49477967,3749476,3749478
1,S1_19328826,37.49477977,3749478,3749480
1,S1_19348057,37.49482326,3749480,3760934
1,S1_19476270,37.72385836,3760934,3772388
1,S1_19560393,37.72390185,3772388,3783635
1,S1_19633901,37.94879748,3783635,3794882
1,S1_19641641,37.94884097,3794882,3806003
1,S1_19642256,38.17121149,3806003,3817123
1,S1_19911700,38.17125498,3817123,3828123
1,S1_19972900,38.39120789,3828123,3839123
1,S1_19973080,38.39125137,3839123,3846507
1,S1_19978750,38.53888726,3846507,3861225
1,S1_19979192,38.6856124,3861225,3875847
1,S1_19979751,38.8313193,3875847,3883134
1,S1_19979829,38.83136278,3883134,3883138
1,S1_19990072,38.83140627,3883138,3883143
1,S1_20096338,38.83144975,3883143,3888475
1,S1_20113813,38.93805509,3888475,3899147
1,S1_20113962,39.04488811,3899147,3904491
1,S1_21471998,39.04493159,3904491,3904498
1,S1_21473288,39.04502883,3904498,3904508
1,S1_21543957,39.04512606,3904508,3918792
1,S1_21544036,39.33071172,3918792,3947569
1,S1_21602112,39.6206646,3947569,3976782
1,S1_21694270,39.91498469,3976782,3991501
1,S1_21699505,39.91502818,3991501,3991503
1,S1_21713321,39.91502828,3991503,3991503
1,S1_21713441,39.91502838,3991503,3991505
1,S1_21721398,39.91507186,3991505,4008177
1,S1_21757805,40.24846159,4008177,4041219
1,S1_21758984,40.57592341,4041219,4089570
1,S1_22068971,41.21548426,4089570,4121551
1,S1_22069443,41.21552774,4121551,4121555
1,S1_22439668,41.21557123,4121555,4126848
1,S1_22497974,41.32138601,4126848,4137385
1,S1_22499054,41.42632326,4137385,4142635
1,S1_22875943,41.42636675,4142635,4147838
1,S1_22876744,41.53039326,4147838,4158201
1,S1_22889156,41.63362922,4158201,4173573
1,S1_22890608,41.8378354,4173573,4194120
1,S1_22976136,42.04456668,4194120,4204459
1,S1_22976362,42.04461016,4204459,4204463
1,S1_23047091,42.04465365,4204463,4214889
1,S1_23047834,42.25311947,4214889,4225314
1,S1_23065758,42.25316295,4225314,4235850
1,S1_23110666,42.46383922,4235850,4246386
1,S1_23193075,42.4638827,4246386,4249918
1,S1_23220335,42.53448723,4249918,4256975
1,S1_23230211,42.60500479,4256975,4264019
1,S1_23234114,42.67538164,4264019,4267540
1,S1_23244263,42.67542512,4267540,4289033
1,S1_23557922,43.10522819,4289033,4310525
1,S1_23616847,43.10527167,4310525,4321265
1,S1_23923548,43.32003365,4321265,4332006
1,S1_24308521,43.32007713,4332006,4335637
1,S1_24408146,43.39266439,4335637,4342919
1,S1_24583279,43.46570702,4342919,4350243
1,S1_24583378,43.53915127,4350243,4353917
1,S1_24599464,43.53919475,4353917,4364947
1,S1_24600188,43.75974376,4364947,4387052
1,S1_24670736,43.9812905,4387052,4398131
1,S1_24671153,43.98133398,4398131,4398136
1,S1_24675535,43.98137747,4398136,4398140
1,S1_24678908,43.98142095,4398140,4403692
1,S1_24735858,44.09242659,4403692,4414841
1,S1_24739912,44.20439673,4414841,4424130
1,S1_24743799,44.27820938,4424130,4431519
1,S1_24778913,44.35216275,4431519,4438918
1,S1_24931653,44.42620308,4438918,4442622
1,S1_25287625,44.42624657,4442622,4453672
1,S1_25371849,44.64719721,4453672,4464722
1,S1_25387676,44.64724069,4464722,4475698
1,S1_25411005,44.8667177,4475698,4486674
1,S1_25416030,44.86676118,4486674,4497602
1,S1_25424351,45.08527368,4497602,4513958
1,S1_25626292,45.19389497,4513958,4524857
1,S1_25705024,45.30325306,4524857,4530327
1,S1_26445241,45.30329655,4530327,4541425
1,S1_26525724,45.5252117,4541425,4560259
1,S1_26528024,45.67996746,4560259,4575712
1,S1_26575822,45.83426786,4575712,4583429
1,S1_26578140,45.83431134,4583429,4613157
1,S1_26684482,46.42883638,4613157,4642886
1,S1_26691848,46.42887986,4642886,4642890
1,S1_26692432,46.42892334,4642890,4642895
1,S1_26914486,46.42896683,4642895,4646487
1,S1_26914877,46.50076353,4646487,4653662
1,S1_26948708,46.57247327,4653662,4660826
1,S1_26951525,46.64404228,4660826,4664406
1,S1_27124012,46.64408577,4664406,4669773
1,S1_27133748,46.75137416,4669773,4680490
1,S1_27140851,46.85843487,4680490,4685846
1,S1_27141593,46.85847835,4685846,4707620
1,S1_27173283,47.29392805,4707620,4729395
1,S1_28459488,47.29397153,4729395,4751807
1,S1_28522574,47.74216772,4751807,4774219
1,S1_28596743,47.7422112,4774219,4774223
1,S1_28798077,47.74225469,4774223,4778001
1,S1_28861775,47.81776863,4778001,4785557
1,S1_28962022,47.89336955,4785557,4793124
1,S1_28962533,47.96911118,4793124,4796913
1,S1_28964976,47.96915466,4796913,4808289
1,S1_29031986,48.19662916,4808289,4819665
1,S1_29198033,48.19667264,4819665,4831041
1,S1_29241436,48.42414714,4831041,4864979
1,S1_29262745,48.87543151,4864979,4887545
1,S1_29359951,48.87547499,4887545,4887550
1,S1_29392148,48.87551848,4887550,4898673
1,S1_29512424,49.09794275,4898673,4909796
1,S1_29522498,49.09798624,4909796,4921069
1,S1_29543329,49.323391,4921069,4932341
1,S1_29741466,49.32343449,4932341,4937999
1,S1_29787014,49.43654305,4937999,4949298
1,S1_29787109,49.54942393,4949298,4954945
1,S1_29788435,49.54946741,4954945,4966142
1,S1_29935725,49.77336532,4966142,4977339
1,S1_29936361,49.77340881,4977339,4981024
1,S1_29939475,49.84708074,4981024,4988386
1,S1_30215893,49.92063249,4988386,4995738
1,S1_30216426,49.99413048,4995738,4999413
1,S1_30279181,49.99413058,4999413,4999413
1,S1_30279510,49.99413068,4999413,4999415
1,S1_30300160,49.99417417,4999415,5021819
1,S1_30571359,50.44219641,5021819,5044222
1,S1_30612788,50.44223989,5044222,5044224
1,S1_31249632,50.44223999,5044224,5047968
1,S1_31426749,50.51712463,5047968,5055474
1,S1_31497344,50.59235714,5055474,5063014
1,S1_31501408,50.66792483,5063014,5066795
1,S1_31745509,50.66796832,5066795,5078093
1,S1_31766969,50.89388221,5078093,5089390
1,S1_31767573,50.89392569,5089390,5089395
1,S1_31767684,50.89396918,5089395,5111653
1,S1_31772518,51.33909772,5111653,5144882
1,S1_31848732,51.55854151,5144882,5155856
1,S1_32021431,51.55858499,5155856,5166929
1,S1_32052125,51.77999101,5166929,5178001
1,S1_32081199,51.7800345,5178001,5200405
1,S1_32087739,52.22805673,5200405,5222808
1,S1_32091283,52.22810022,5222808,5222812
1,S1_32091619,52.2281437,5222812,5245321
1,S1_32153886,52.67826902,5245321,5267829
1,S1_32156418,52.6783125,5267829,5267833
1,S1_33120255,52.67835599,5267833,5267838
1,S1_33120555,52.67839947,5267838,5267842
1,S1_33121881,52.67844295,5267842,5279154
1,S1_33124247,52.90463829,5279154,5301858
1,S1_33124634,53.13251442,5301858,5313254
1,S1_33162851,53.1325579,5313254,5313258
1,S1_33163006,53.13260138,5313258,5313262
1,S1_33473397,53.13264487,5313262,5313267
1,S1_33474278,53.13268835,5313267,5336399
1,S1_33528512,53.5952993,5336399,5359532
1,S1_33836420,53.59534278,5359532,5363379
1,S1_33837017,53.67224337,5363379,5371076
1,S1_33842113,53.74928467,5371076,5378785
1,S1_33884428,53.82641294,5378785,5382641
1,S1_34406567,53.82641304,5382641,5394146
1,S1_34528557,54.05649963,5394146,5405652
1,S1_34947856,54.05654311,5405652,5411461
1,S1_34950618,54.17268587,5411461,5423131
1,S1_34951744,54.28993384,5423131,5428996
1,S1_34970442,54.28997733,5428996,5440718
1,S1_34993569,54.52437732,5440718,5452438
1,S1_35190653,54.52437742,5452438,5456446
1,S1_35212737,54.60453988,5456446,5464437
1,S1_35214755,54.68419322,5464437,5472379
1,S1_35215057,54.76339119,5472379,5476341
1,S1_35770940,54.76343467,5476341,5480200
1,S1_35772063,54.84056294,5480200,5487908
1,S1_35833404,54.91760425,5487908,5495605
1,S1_35888095,54.99450483,5495605,5499453
1,S1_35888608,54.99454832,5499453,5522379
1,S1_36155708,55.45304006,5522379,5545306
1,S1_36222120,55.45308354,5545306,5549117
1,S1_36222263,55.52924733,5549117,5556707
1,S1_36346623,55.60490199,5556707,5564252
1,S1_36346770,55.6801345,5564252,5568016
1,S1_36897121,55.68017798,5568016,5573545
1,S1_36914733,55.79072825,5573545,5584637
1,S1_36915629,55.90201533,5584637,5590204
1,S1_36917000,55.90205882,5590204,5612414
1,S1_36917517,56.3462228,5612414,5634624
1,S1_36918425,56.34626628,5634624,5634629
1,S1_36973187,56.34630976,5634629,5634633
1,S1_36973832,56.34635325,5634633,5645633
1,S1_37128887,56.56630616,5645633,5667749
1,S1_37132626,56.78867669,5667749,5678870
1,S1_37871949,56.78872017,5678870,5684496
1,S1_37874273,56.90119943,5684496,5695696
1,S1_38095754,57.01271419,5695696,5701274
1,S1_38850938,57.01275768,5701274,5712250
1,S1_38868138,57.23223468,5712250,5723226
1,S1_38871710,57.23227817,5723226,5734131
1,S1_38876731,57.45033529,5734131,5745036
1,S1_39254399,57.45037877,5745036,5755870
1,S1_39255129,57.66701601,5755870,5766704
1,S1_39255479,57.6670595,5766704,5766708
1,S1_39333505,57.66710298,5766708,5778137
1,S1_39402316,57.89562896,5778137,5801127
1,S1_39601605,58.12690774,5801127,5824391
1,S1_39743638,58.3609061,5824391,5836093
1,S1_39743737,58.36094959,5836093,5836097
1,S1_39743823,58.36099307,5836097,5836101
1,S1_39747873,58.36103656,5836101,5836106
1,S1_40571909,58.36108004,5836106,5847509
1,S1_40645185,58.58909689,5847509,5858912
1,S1_40812382,58.58914037,5858912,5882493
1,S1_40913274,59.06071392,5882493,5906074
1,S1_40936710,59.06075741,5906074,5906078
1,S1_41280467,59.06080089,5906078,5912174
1,S1_41427995,59.18267686,5912174,5924417
1,S1_41428140,59.30565804,5924417,5930568
1,S1_42121864,59.30570153,5930568,5930572
1,S1_42122352,59.30574501,5930572,5930577
1,S1_42184173,59.30578849,5930577,5949181
1,S1_42354693,59.67782608,5949181,5986701
1,S1_42472889,60.05619329,5986701,6005622
1,S1_43769442,60.05623678,6005622,6011835
1,S1_43769876,60.18046389,6011835,6024198
1,S1_44170566,60.30349882,6024198,6030352
1,S1_44173608,60.3035423,6030352,6042444
1,S1_44176538,60.54534371,6042444,6054537
1,S1_44960183,60.5453872,6054537,6066778
1,S1_45002733,60.79016911,6066778,6079019
1,S1_45113462,60.79021259,6079019,6083210
1,S1_45118238,60.8739848,6083210,6091560
1,S1_45147834,60.95721466,6091560,6099856
1,S1_45147971,61.03990219,6099856,6103992
1,S1_45340074,61.03994567,6103992,6110047
1,S1_45365751,61.16099787,6110047,6122169
1,S1_45405165,61.28238525,6122169,6128241
1,S1_45425749,61.28242873,6128241,6140544
1,S1_45508318,61.52845659,6140544,6152848
1,S1_45740657,61.52850008,6152848,6152852
1,S1_45741402,61.52854356,6152852,6177365
1,S1_45768008,62.01875875,6177365,6201878
1,S1_45781191,62.01880224,6201878,6226331
1,S1_45916009,62.50782514,6226331,6250785
1,S1_45919018,62.50786863,6250785,6250789
1,S1_45920593,62.50791211,6250789,6259265
1,S1_45922468,62.67739625,6259265,6276313
1,S1_45931398,62.84886314,6276313,6293560
1,S1_45937983,63.02234599,6293560,6302237
1,S1_45938580,63.02238947,6302237,6302241
1,S1_45940042,63.02243296,6302241,6302245
1,S1_46138678,63.02247644,6302245,6308714
1,S1_46231265,63.15180745,6308714,6321587
1,S1_46405990,63.27992576,6321587,6327995
1,S1_46418458,63.27996924,6327995,6340672
1,S1_46458295,63.53346498,6340672,6353349
1,S1_46651579,63.53350846,6353349,6379466
1,S1_46685564,64.05581594,6379466,6405584
1,S1_46848796,64.05585942,6405584,6440074
1,S1_47322871,64.74561572,6440074,6474566
1,S1_47326828,64.74571295,6474566,6483521
1,S1_47331494,64.92470136,6483521,6501459
1,S1_47370675,65.10448034,6501459,6514642
1,S1_47453319,65.18836004,6514642,6523037
1,S1_47455391,65.27238046,6523037,6531445
1,S1_47455786,65.35652106,6531445,6535654
1,S1_47457526,65.35656455,6535654,6535659
1,S1_47474843,65.35660803,6535659,6561572
1,S1_47484210,65.87482943,6561572,6587485
1,S1_47504092,65.87487291,6587485,6587489
1,S1_47769321,65.8749164,6587489,6600529
1,S1_47775147,66.13567286,6600529,6626710
